claim_or_artifact,authoritative_code,authoritative_inputs,authoritative_output,reproduction_level,notes
Fig1_tensorial_harmonic_and_caustic,figure_scripts/p2f_make_figure1_tensorial_theory_massweighted_v63.py,figure_data/lha10d1_anisotropic_harmonic_2d.csv;figure_data/lha10d2_negative_curvature_caustic.csv,figures/Fig1_tensorial_SPLH_caustic.pdf,deterministic,"Foundational generators: validation_tests/lha10d1_* and lha10d2_*"
Fig2_precaustic_accuracy,figure_scripts/p2c_make_figure2_before_caustic_v63.py,figure_data/point7_exact_bz_anchors.csv;figure_data/triangular_classical_baseline.csv,figures/Fig2_before_caustic.pdf,deterministic,"Exact-BZ provenance and run scripts under point7_exact_bz/"
Fig3_offstationary_caustic,figure_scripts/p2d_make_figure3_offstationary_caustic_v63.py,figure_data/lha13a0_asymmetric_moire_geometry.npz;figure_data/lha13a0_stationary_points.csv;figure_data/lha13a3_probability_weighted_offstationary_caustic.csv,figures/Fig3_offstationary_caustic.pdf,deterministic,"Grid-convergence and exact-BZ source scripts under validation_tests/"
Fig4_density_validation,figure_scripts/make_fig4_point6_v63.py,figure_data/lhap0b_final_publication_statistics.npz;figure_data/point6_l1_noise_floor_summary_variance_corrected.csv,figures/Fig4_exact_pimc_SPLH_FINAL.pdf,replay_and_deterministic,"Final residual bootstrap uses sqrt(16/15) whole-chain correction"
Point5_long_energy,paper2_secVII_energy_longcheck/analyze_secVII_energy_longcheck.py,paper2_secVII_energy_longcheck/results/secVII_energy_longcheck_seed_132001.npz ... seed_132016.npz,paper2_secVII_energy_longcheck/results/secVII_energy_longcheck_analysis.json,archived_chain_analysis,"16 independent chain means are top-level observations"
Point6_L1_noise_floor,paper2_secVII_l1_noise_floor/analyze_point6_l1_noise_floor_variance_corrected.py,paper2_secVII_l1_noise_floor/replay_hist32/;paper2_secVII_l1_noise_floor/exact_multibin/;paper2_secVII_l1_noise_floor/splh_multibin/,paper2_secVII_l1_noise_floor/results/point6_l1_noise_floor_summary_variance_corrected.csv,archived_chain_replay,"200000 fixed bootstrap replicates; seed 20260908"
Stage_independent_first_caustic,validation/stage_independence_corrected.py,"analytic conditions; asymmetric beta_c regression value",validation/stage_independence_corrected_results.txt,deterministic,"Rejected exploratory bare-prefactor package intentionally excluded"
Three_stage_doublewell,validation/three_stage_doublewell_gate_v63.py;validation/three_stage_doublewell_energy_origin_sensitivity.py,"1D double-well Eq. 44 convention; converged finite-difference Hamiltonian",validation/three_stage_doublewell_energy_origin_sensitivity.csv,deterministic,"Includes published and V_min=0 energy-origin conventions"
BLK_curvature,validation/blk_exact_v62.py,"analytic BLK derivatives and frozen interacting parameters",validation/blk_exact_v62_results.txt,deterministic,"T_close is a curvature-field result, not an equilibrium temperature scan"
Fig5_mode_attribution,paper2_reviewer_hardening_audit/make_mode_attribution_figure.py,paper2_reviewer_hardening_audit/mode_attribution_distributions_P256.csv;paper2_reviewer_hardening_audit/mode_attribution_P256.csv,figures/Fig5_mode_attribution.pdf,archived_derived_data,"Final vector PDF preserved; pooled bead distributions are descriptive, not top-level IID errors"
Fig6_interacting_finiteP,figure_scripts/p2f_make_figure6_interacting_caustic_v63.py,secVIII/results/tb03_aggregate.csv,figures/Fig6_interacting_gaussian.pdf,deterministic_render_of_archived_MC,"10 independent chains per P in canonical aggregate"
FigS1_stationarity,paper2_P256_long_stationarity_spotcheck/run_P256_long_stationarity.py,paper2_P256_long_stationarity_spotcheck/P256_long_stationarity_block_stats.csv;Zenodo raw P256 chains,figures/FigS1_P256_stationarity.pdf,archived_MC_plus_external_raw,"Raw long chains omitted from Git; hashes frozen in provenance/OMITTED_LARGE_DATA.csv"
